Name of project,Unique Name,Month,Year,Event type,Medium,💿 Production Type,Status,Start date,End Date,Promotions Start Date,Promotions Duration,Responsible,Average revenue (from Event type)
Social Media Summit at 1BFS | 🌐 Mastery Hybrid Summit | Jan 2026,Social Media Summit at 1BFS,Jan,2026,🌐 Mastery Hybrid Summit,💃 Large Event (> 500),🎙️Summit,Completed,9 January 2026,11 January 2026,"November 25, 2025",45,Jaideep Chagger,$5000000.00
Healing from Heartbreak | 🚀 Quest Soft Release | Jan 2026,Healing from Heartbreak,Jan,2026,🚀 Quest Soft Release,📧 Email,⛰️ Quests (Membership),Completed,15 January 2026,,"January 13, 2026",2,Ramya Rednam,$100000.00
Manifesting Cert (Seville) | Certification Event | Jan 2026,Manifesting Cert (Seville),Jan,2026,Certification Event,🏖️ Small Event (< 500),🏃 Coach,Completed,17 January 2026,19 January 2026,"October 19, 2025",90,Jaideep Chagger,$500000.00
Self Reset | 🎫 Event Campaign | Jan 2026,Self Reset,Jan,2026,🎫 Event Campaign,📧 Email,💃 Event,Completed,18 January 2026,,"July 22, 2025",180,Ramya Rednam,$1200000.00
Social Media Summit Highlights | 💻 Mastery Highlights Webinar | Jan 2026,Social Media Summit Highlights,Jan,2026,💻 Mastery Highlights Webinar,📺 Zoom,🎓 Mastery,Completed,18 January 2026,,"January 13, 2026",5,Jaideep Chagger,$500000.00
Social Media Mastery | 🎤 Live Workshop | Jan 2026,Social Media Mastery,Jan,2026,🎤 Live Workshop,🏖️ Small Event (< 500),🧚 Brand,Completed,21 January 2026,,"January 11, 2026",10,Ramya Rednam,$500000.00
Social Media Mastery | 🏆 Mastery Program | Jan 2026,Social Media Mastery,Jan,2026,🏆 Mastery Program,📺 Zoom,🎓 Mastery,Completed,27 January 2026,,,,Jaideep Chagger,
AI Accelerator  | 💻 Mastery Introduction Webinar | Jan 2026,AI Accelerator ,Jan,2026,💻 Mastery Introduction Webinar,📺 Zoom,🎓 Mastery,Completed,31 January 2026,,"January 29, 2026",3,Jaideep Chagger,$250000.00
Silva Ultramind | 💻 Quest Release Webinar | Feb 2026,Silva Ultramind,Feb,2026,💻 Quest Release Webinar,📺 Zoom,⛰️ Quests (Membership),Completed,3 February 2026,,"January 30, 2026",5,Ramya Rednam,$100000.00
AI Accelerator  | 📈 Accelerator | Feb 2026,AI Accelerator ,Feb,2026,📈 Accelerator,📺 Zoom,🎓 Mastery,Confirmed,9 February 2026,15 February 2026,"January 26, 2026",15,Jaideep Chagger,$2000000.00
Certified Life Coach | 💻 Cert Online 1 Day Seminar | Feb 2026,Certified Life Coach,Feb,2026,💻 Cert Online 1 Day Seminar,🎥 Studio,🏃 Coach,Confirmed,13 February 2026,,"January 31, 2026",15,Jaideep Chagger,$1200000.00
States Box Set Offer | 💊 Mindvalley States | Feb 2026,States Box Set Offer,Feb,2026,💊 Mindvalley States,📧 Email,💊 States,Confirmed,16 February 2026,19 February 2026,"February 11, 2026",5,Moniek van Waaijenburg,$100000.00
The Confident Negotiator: Clarity in Every Conversation | 💻 Quest Release Webinar | Feb 2026,The Confident Negotiator: Clarity in Every Conversation,Feb,2026,💻 Quest Release Webinar,📺 Zoom,⛰️ Quests (Membership),Confirmed,21 February 2026,,"February 16, 2026",5,Ramya Rednam,$100000.00
Certified Life Coach | 📜 Cert Presentation Webinar | Feb 2026,Certified Life Coach,Feb,2026,📜 Cert Presentation Webinar,📺 Zoom,🏃 Coach,Confirmed,22 February 2026,,"February 12, 2026",10,Jaideep Chagger,$1200000.00
The Maestro's Guide to Leadership | 🚀 Quest Soft Release | Mar 2026,The Maestro's Guide to Leadership,Mar,2026,🚀 Quest Soft Release,📧 Email,⛰️ Quests (Membership),Confirmed,2 March 2026,,"March 18, 2026",2,Ramya Rednam,$100000.00
Bold Conversations | 🚀 Quest Soft Release | Mar 2026,Bold Conversations,Mar,2026,🚀 Quest Soft Release,📧 Email,⛰️ Quests (Membership),Confirmed,3 March 2026,,"March 21, 2026",2,Ramya Rednam,$100000.00
Certified Life Coach | 👟 Cert Class | Mar 2026,Certified Life Coach,Mar,2026,👟 Cert Class,📺 Zoom,🏃 Coach,Confirmed,4 March 2026,,,,Jaideep Chagger,
AI Summit | 🌐 Mastery Online Summit | Mar 2026,AI Summit,Mar,2026,🌐 Mastery Online Summit,🎥 Studio,🎙️Summit,Confirmed,20 March 2026,22 March 2026,"February 19, 2026",30,Jaideep Chagger,$5000000.00
AI Summit Highlights | 💻 Mastery Highlights Webinar | Mar 2026,AI Summit Highlights,Mar,2026,💻 Mastery Highlights Webinar,📺 Zoom,🎓 Mastery,Confirmed,29 March 2026,,"March 17, 2026",5,Jaideep Chagger,$500000.00
AI Mastery | 🏆 Mastery Program | Apr 2026,AI Mastery,Apr,2026,🏆 Mastery Program,📺 Zoom,🎓 Mastery,Confirmed,6 April 2026,,,,Jaideep Chagger,
Manifesting Summit | 🌐 Mastery Hybrid Summit | May 2026,Manifesting Summit,May,2026,🌐 Mastery Hybrid Summit,💃 Large Event (> 500),🎙️Summit,Confirmed,16 May 2026,17 May 2026,"April 1, 2026",45,Jaideep Chagger,$5000000.00
